iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,iso_code_encoded,growth_rate_new_cases,growth_rate_new_deaths,high_cases
BHS,North America,Bahamas,2024-02-01,38300.0,0.0,5.429,848.0,0.0,0.0,96341.54,0.0,13.655,2133.097,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989,,,,,22,0.0,0.0,0
SRB,Europe,Serbia,2020-12-01,163035.0,0.0,6701.429,1484.0,0.0,45.143,24006.74,0.0,986.779,218.518,0.0,6.647,1.17,269.0,39.147,7499.0,1091.312,,,,,1800419.0,22837.0,262.011,3.323,20033.0,2.915,0.3595,2.8,people tested,0.0,,,,,,,,,,,,,60.19,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,210,0.0,0.0,0
GNB,Africa,Guinea-Bissau,2020-08-03,1981.0,0.0,3.857,27.0,0.0,0.143,940.853,0.0,1.832,12.823,0.0,0.068,0.74,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580,,,,,80,-1.0,-1.0,0
ZAF,Africa,South Africa,2023-11-04,4072581.0,0.0,0.714,102595.0,0.0,0.0,65288.3,0.0,0.011,1644.72,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884,,,,,251,0.0,0.0,0
ATG,North America,Antigua and Barbuda,2024-03-31,9106.0,0.0,0.0,146.0,0.0,0.0,98071.1,0.0,0.0,1572.412,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772,,,,,10,0.0,0.0,0
AFG,Asia,Afghanistan,2020-04-14,521.0,0.0,35.286,15.0,0.0,1.429,12.839,0.0,0.87,0.37,0.0,0.035,1.48,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84.26,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772,,,,,1,0.0,0.0,0
IRL,Europe,Ireland,2023-05-13,1711027.0,0.0,68.143,8964.0,0.0,2.714,334838.1,0.0,13.335,1754.203,0.0,0.531,,,,,,,,,,,,,,,,,,,11127670.0,4110262.0,4064728.0,3193983.0,30.0,47.0,221.53,81.83,80.92,63.59,9.0,11.0,0.0,,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108,,,,,97,0.0,0.0,0
NRU,Oceania,Nauru,2021-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,158.0,1.0,0.008,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691,,,,,159,0.0,0.0,0
HTI,North America,Haiti,2021-05-29,14128.0,0.0,75.714,302.0,0.0,3.714,1228.137,0.0,6.582,26.253,0.0,0.323,1.28,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,50.93,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003,,,,,92,0.0,0.0,0
IND,Asia,India,2020-06-27,410461.0,0.0,12791.286,13254.0,0.0,579.857,287.957,0.0,8.974,9.298,0.0,0.407,1.24,,,,,,,,,7996707.0,220479.0,5.681,0.157,197173.0,0.14,0.0858,11.7,samples tested,0.0,,,,,,,,,,,,,87.5,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120,,,,,96,0.0,0.0,0
WSM,Oceania,Samoa,2021-01-05,1.0,0.0,0.0,0.0,0.0,0.0,4.645,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390,,,,,249,0.0,0.0,0
PRY,South America,Paraguay,2023-10-17,735759.0,0.0,0.0,19880.0,0.0,0.0,108832.664,0.0,0.0,2940.628,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745,,,,,191,0.0,0.0,0
SVK,Europe,Slovakia,2022-03-19,1573111.0,0.0,9088.143,18918.0,0.0,33.0,287421.03,0.0,1660.483,3456.483,0.0,6.029,0.88,206.0,36.502,2447.0,433.6,,,,,50273629.0,19119.0,9228.546,3.51,31758.0,5.83,0.331,3.0,tests performed,0.0,,,,,692.0,,,,,123.0,73.0,0.001,19.1,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,214,0.0,0.0,0
COD,Africa,Democratic Republic of Congo,2020-07-16,8032.0,0.0,88.857,375.0,0.0,0.857,78.44,0.0,0.868,3.662,0.0,0.008,0.98,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80.56,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216,,,,,41,0.0,0.0,0
BRA,South America,Brazil,2022-04-09,29975165.0,0.0,24701.143,660002.0,0.0,205.143,142530.92,0.0,117.453,3138.288,0.0,0.975,0.86,,,,,,,,,,,,,,,,,,420841281.0,181687021.0,161882738.0,82460566.0,430207.0,662948.0,195.46,84.38,75.18,38.3,3079.0,54373.0,0.025,33.07,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504,,,,,29,0.0,0.0,0
ARM,Asia,Armenia,2023-07-09,449260.0,5.0,0.714,8751.0,0.0,0.0,155945.25,1.736,0.248,3037.61,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,53.0,,,,,19.0,18.0,0.001,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472,,,,,8,inf,0.0,0
TKM,Asia,Turkmenistan,2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,67.59,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777,,,,,227,0.0,0.0,0
FSM,Oceania,Micronesia (country),2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,114178,,,,,70,0.0,0.0,0
ROU,Europe,Romania,2023-05-19,3399977.0,0.0,373.143,68143.0,0.0,3.714,177389.1,0.0,19.468,3555.266,0.0,0.194,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3321.0,0.017,,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270,,,,,196,0.0,0.0,0
MDA,Europe,Moldova,2022-08-03,532187.0,0.0,827.571,11608.0,0.0,2.286,175062.27,0.0,272.229,3818.438,0.0,0.752,0.33,,,,,,,,,,,,,,,,,,0.0,,,,,796.0,,,,,243.0,102.0,0.003,11.11,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993,,,,,130,0.0,0.0,0
BTN,Asia,Bhutan,2024-05-27,62697.0,0.0,0.0,21.0,0.0,0.0,80286.07,0.0,0.0,26.891,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457,,,,,32,0.0,0.0,0
PNG,Oceania,Papua New Guinea,2021-10-05,21032.0,0.0,215.571,234.0,0.0,1.143,2061.319,0.0,21.128,22.934,0.0,0.112,1.12,,,,,,,,,,,,,,,,,,194962.0,133741.0,61221.0,,,4270.0,1.92,1.32,0.6,,421.0,1964.0,0.019,50.93,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625,,,,,186,0.0,0.0,0
GNQ,Africa,Equatorial Guinea,2020-05-11,688.0,0.0,26.143,7.0,0.0,0.429,381.47,0.0,14.495,3.881,0.0,0.238,0.81,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916,,,,,81,-1.0,-1.0,0
OWID_KOS,Europe,Kosovo,2021-04-22,101110.0,0.0,526.571,2051.0,0.0,12.143,58855.03,0.0,306.511,1193.865,0.0,7.068,0.66,,,,,,,,,,,,,,,,,,0.0,,,,,1263.0,,,,,709.0,1263.0,0.071,45.37,168.155,,,,9795.834,0.6,,,,,,,,,1782115,,,,,169,0.0,0.0,0
HRV,Europe,Croatia,2023-12-02,1285460.0,0.0,433.571,18487.0,0.0,2.429,329011.97,0.0,110.972,4731.726,0.0,0.622,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361,,,,,91,0.0,0.0,0
MDV,Asia,Maldives,2023-09-15,186694.0,0.0,0.0,316.0,0.0,0.0,356207.4,0.0,0.0,602.92,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798,,,,,132,0.0,0.0,0
LVA,Europe,Latvia,2021-05-17,127976.0,0.0,573.571,2447.0,0.0,9.429,68034.055,0.0,304.92,1300.864,0.0,5.012,0.88,,,,,,,,,2448070.0,4112.0,1306.391,2.194,12627.0,6.738,0.0433,23.1,tests performed,538754.0,411653.0,130320.0,7.0,11680.0,16319.0,29.11,22.24,7.04,0.0,8818.0,10636.0,0.575,56.48,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654,,,,,125,-1.0,-1.0,0
THA,Asia,Thailand,2021-07-21,403386.0,0.0,9573.571,3341.0,0.0,90.0,5623.255,0.0,133.457,46.574,0.0,1.255,1.27,,,,,,,,,9963467.0,82325.0,139.152,1.15,70803.0,0.989,0.1542,6.5,tests performed,15084696.0,11538866.0,3545830.0,,279576.0,221568.0,21.04,16.09,4.95,,3090.0,196504.0,0.274,57.41,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,,,,,224,0.0,0.0,0
LTU,Europe,Lithuania,2020-08-16,2383.0,192.0,27.429,64.0,0.0,0.0,845.959,68.16,9.737,22.72,0.0,0.0,1.23,,,,,,,,,532505.0,1370.0,191.091,0.492,3521.0,1.264,0.01,100.0,tests performed,0.0,,,,,,,,,,,,,42.59,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058,820.9,3.36,14.86,291.07153,123,inf,0.0,0
BFA,Africa,Burkina Faso,2023-07-03,22056.0,0.0,0.0,396.0,0.0,0.0,979.873,0.0,0.0,17.593,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,9679.0,,,,,427.0,7436.0,0.033,,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764,,,,,18,0.0,0.0,0
TCD,Africa,Chad,2024-01-04,7698.0,0.0,0.0,194.0,0.0,0.0,417.116,0.0,0.0,10.512,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312,,,,,222,0.0,0.0,0
LKA,Asia,Sri Lanka,2024-07-20,672791.0,0.0,0.0,16907.0,0.0,0.0,29463.195,0.0,0.0,740.4,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150,,,,,121,0.0,0.0,0
BOL,South America,Bolivia,2020-12-25,149149.0,0.0,350.286,9033.0,0.0,2.857,12349.68,0.0,29.004,747.941,0.0,0.237,1.44,,,,,,,,,398304.0,1884.0,32.974,0.156,1915.0,0.159,0.3313,3.0,tests performed,0.0,,,,,,,,,,,,,52.78,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,28,0.0,0.0,0
BMU,North America,Bermuda,2023-06-16,18860.0,0.0,0.0,165.0,0.0,0.0,291175.2,0.0,0.0,2547.397,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207,,,,,27,0.0,0.0,0
LSO,Africa,Lesotho,2024-03-09,36138.0,0.0,0.0,709.0,0.0,0.0,15807.624,0.0,0.0,310.134,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826,,,,,122,0.0,0.0,0
THA,Asia,Thailand,2022-05-07,4262484.0,0.0,13801.429,28617.0,0.0,120.286,59419.6,0.0,192.394,398.925,0.0,1.677,0.72,,,,,,,,,24302010.0,13863.0,339.408,0.194,22380.0,0.313,0.4201,2.4,tests performed,134050705.0,56209797.0,51497928.0,26342980.0,65108.0,112657.0,186.97,78.4,71.83,36.74,1571.0,12252.0,0.017,37.5,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,,,,,224,0.0,0.0,0
ARE,Asia,United Arab Emirates,2022-03-23,887385.0,0.0,328.0,2302.0,0.0,0.0,86641.05,0.0,32.025,224.759,0.0,0.0,0.92,,,,,,,,,145690412.0,327250.0,15556.665,34.943,320597.0,34.233,0.0011,928.5,tests performed,0.0,,,,,11296.0,,,,,1196.0,69.0,0.001,29.59,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138,,,,,6,0.0,0.0,0
THA,Asia,Thailand,2021-02-06,18782.0,0.0,754.571,77.0,0.0,0.571,261.824,0.0,10.519,1.073,0.0,0.008,0.9,,,,,,,,,2476324.0,16725.0,34.585,0.234,18663.0,0.261,0.0397,25.2,tests performed,0.0,,,,,,,,,,,,,40.74,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,,,,,224,0.0,0.0,0
GNB,Africa,Guinea-Bissau,2022-01-16,7034.0,340.0,48.571,152.0,3.0,0.429,3340.716,161.479,23.068,72.191,1.425,0.204,1.18,,,,,,,,,,,,,,,,,,0.0,,,,,140.0,,,,,66.0,64.0,0.003,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580,,,,,80,inf,inf,0
MKD,Europe,North Macedonia,2022-05-24,311271.0,0.0,70.143,9643.0,0.0,0.143,169147.33,0.0,38.116,5240.089,0.0,0.078,1.03,,,,,,,,,,,,,1108.0,0.527,0.0526,19.0,tests performed,0.0,,,,,32.0,,,,,15.0,14.0,0.001,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606,,,,,135,0.0,0.0,0
SUR,South America,Suriname,2022-12-31,81581.0,0.0,0.0,1393.0,0.0,0.0,130912.28,0.0,0.0,2235.334,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21.3,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046,,,,,213,0.0,0.0,0
MYS,Asia,Malaysia,2021-10-10,2339594.0,62029.0,8861.286,27329.0,646.0,92.286,67432.21,1787.811,255.402,787.682,18.619,2.66,0.8,759.0,22.364,6492.0,191.289,,,7300.0,215.097,31771217.0,92421.0,946.308,2.753,133069.0,3.963,0.0666,15.0,people tested,47045446.0,25153242.0,22047038.0,1274.0,137562.0,196083.0,138.62,74.11,64.96,0.0,5778.0,92137.0,0.271,66.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216,,,,,148,inf,inf,1
